player_name,gp
Chimezie Metu,209
Joffrey Lauvergne,208
Dickey Simpkins,208
Marvin Bagley III,208
John Thomas,208
Kelenna Azubuike,208
Dwayne Bacon,207
Jeff Withey,207
John Konchar,206
De'Andre Hunter,206
Kenyon Martin Jr.,206
Donnell Harvey,205
Brent Price,204
Terrance Ferguson,204
Salah Mejri,204
Randy Livingston,203
Greg Stiemsma,203
Caleb Martin,202
Abdel Nader,202
Bobby Phills,202
Desmond Bane,202
Garrison Mathews,201
Obi Toppin,201
Sam Dekker,201
Jamie Feick,201
MarShon Brooks,200
Von Wafer,200
Keith McLeod,200
Patrick McCaw,199
Vonteego Cummings,199
Jalen McDaniels,198
Talen Horton-Tucker,196
Tyrese Maxey,196
Kevin Porter Jr.,196
Sean Elliott,196
Gabe Vincent,195
Carlos Rogers,193
Kendrick Nunn,193
Nassir Little,192
Brad Wanamaker,191
Juan Toscano-Anderson,191
Terry Cummings,191
Markelle Fultz,191
Tyrese Haliburton,191
Harvey Grant,190
Robert Sacre,189
Joe Dumars,189
Max Strus,189
David Harrison,189
Isaiah Stewart,189
Mardy Collins,189
Precious Achiuwa,189
Byron Mullens,189
Sam Mack,188
Quinn Cook,188
Acie Law,188
Michael Porter Jr.,187
Yakhouba Diawara,187
Antoine Carr,187
Eddie Gill,187
Courtney Alexander,187
Goga Bitadze,187
Dragan Bender,187
Derek Harper,186
Javonte Green,186
Tyler Ennis,186
Jordan McLaughlin,186
Payton Pritchard,185
Xavier Henry,185
Jaylen Nowell,184
Jarell Martin,184
Charles Barkley,183
Cheick Diallo,183
Sonny Weems,183
Alfonzo McKinnie,182
Alexey Shved,182
Rodrigue Beaubois,182
Amir Coffey,181
Henry Walker,181
Michael Cage,181
Shaquille Harrison,180
Treveon Graham,180
Tony Bradley,179
Travis Diener,179
Jae'Sean Tate,179
Yuta Watanabe,179
Cody Martin,178
Onyeka Okongwu,178
DeAndre Liggins,177
Terry Dehere,176
James Robinson,176
Todd Day,175
B.J. Armstrong,174
Alex Abrines,174
Tre Jones,174
Mark Davis,173
Michael Bradley,173
Cam Reddish,173
Doug West,173
Oshae Brissett,172
Nikoloz Tskitishvili,172
Cole Anthony,172
Aaron Nesmith,171
John Jenkins,171
Chris Copeland,171
Devin Vassell,171
Derrick Brown,171
Chris Morris,171
Dennis Rodman,170
Patrick Williams,170
Gary Clark,170
Dean Wade,170
Festus Ezeli,170
Isaiah Joe,169
Killian Hayes,168
Lee Mayberry,168
Qyntel Woods,167
Mateen Cleaves,167
Josh Green,166
Blue Edwards,166
Archie Goodwin,165
Lamar Stevens,165
Hot Rod Williams,164
Gary Payton II,164
Thanasis Antetokounmpo,164
Naji Marshall,164
Rex Walters,163
Jonny Flynn,163
Ryan Kelly,163
LaMelo Ball,162
Mario West,162
Jan Vesely,162
Lonny Baxter,162
R.J. Hampton,162
Adam Morrison,161
Charles Smith,161
Carl Herrera,161
Jordan Bell,161
Edmond Sumner,161
Theo Maledon,160
Sindarius Thornwell,160
Kendall Marshall,160
J.R. Reid,160
Khalid Reeves,159
Quincy Lewis,159
Franz Wagner,159
Bruno Fernando,158
Duane Causwell,158
Eric Paschall,158
Bobby Brown,158
Ty Jerome,157
Ronald Dupree,157
Sean Kilpatrick,157
Keith Askins,157
Ayo Dosunmu,157
Salim Stoudamire,157
Mark West,156
